Date,Year,Month,Region,Product,Channel,Customer_Segment,Units_Sold,Revenue_USD
2023-01-01,2023,1,North America,Personal Loan,Branch (Assisted),SME,548,77979.06
2023-02-01,2023,2,North America,Personal Loan,Mobile App,Retail,457,66270.48
2023-03-01,2023,3,North America,Personal Loan,Mobile App,Retail,667,99038.09
2023-04-01,2023,4,North America,Personal Loan,Mobile App,Retail,649,93121.2
2023-05-01,2023,5,North America,Personal Loan,Mobile App,SME,527,76793.65
2023-06-01,2023,6,North America,Personal Loan,Web Platform,Retail,578,84327.39
2023-07-01,2023,7,North America,Personal Loan,Mobile App,Retail,463,63239.35
2023-08-01,2023,8,North America,Personal Loan,Partner/Broker,Retail,509,72575.48
2023-09-01,2023,9,North America,Personal Loan,Web Platform,Retail,458,67832.31
2023-10-01,2023,10,North America,Personal Loan,Web Platform,SME,482,73977.1
2023-11-01,2023,11,North America,Personal Loan,Mobile App,SME,575,82774.75
2023-12-01,2023,12,North America,Personal Loan,Web Platform,SME,470,63234.75
2024-01-01,2024,1,North America,Personal Loan,Web Platform,SME,563,79921.96
2024-02-01,2024,2,North America,Personal Loan,Mobile App,Retail,561,82166.84
2024-03-01,2024,3,North America,Personal Loan,Branch (Assisted),Private/HNW,623,92147.57
2024-04-01,2024,4,North America,Personal Loan,Partner/Broker,Retail,706,107255.45
2024-05-01,2024,5,North America,Personal Loan,Partner/Broker,Retail,558,74740.22
2024-06-01,2024,6,North America,Personal Loan,Mobile App,Retail,564,78869.1
2024-07-01,2024,7,North America,Personal Loan,Web Platform,Mass Affluent,517,71426.71
2024-08-01,2024,8,North America,Personal Loan,Web Platform,Mass Affluent,540,82804.57
2024-09-01,2024,9,North America,Personal Loan,Partner/Broker,Mass Affluent,617,92095.37
2024-10-01,2024,10,North America,Personal Loan,Partner/Broker,SME,598,80543.14
2024-11-01,2024,11,North America,Personal Loan,Mobile App,Retail,635,88673.59
2024-12-01,2024,12,North America,Personal Loan,Web Platform,SME,606,92428.29
2025-01-01,2025,1,North America,Personal Loan,Mobile App,Retail,656,97694.44
2025-02-01,2025,2,North America,Personal Loan,Web Platform,SME,601,86950.26
2025-03-01,2025,3,North America,Personal Loan,Web Platform,Retail,780,110965.0
2025-04-01,2025,4,North America,Personal Loan,Mobile App,Mass Affluent,837,114359.22
2025-05-01,2025,5,North America,Personal Loan,Branch (Assisted),Retail,731,106659.99
2025-06-01,2025,6,North America,Personal Loan,Partner/Broker,Retail,754,107326.52
2025-07-01,2025,7,North America,Personal Loan,Web Platform,Retail,655,97124.79
2025-08-01,2025,8,North America,Personal Loan,Web Platform,Retail,611,87074.47
2025-09-01,2025,9,North America,Personal Loan,Web Platform,Private/HNW,664,93022.18
2025-10-01,2025,10,North America,Personal Loan,Partner/Broker,Mass Affluent,689,103027.24
2025-11-01,2025,11,North America,Personal Loan,Mobile App,Retail,755,110717.04
2025-12-01,2025,12,North America,Personal Loan,Branch (Assisted),Retail,673,96170.87
2023-01-01,2023,1,North America,Credit Card,Mobile App,Retail,890,58335.3
2023-02-01,2023,2,North America,Credit Card,Web Platform,Retail,945,58141.17
2023-03-01,2023,3,North America,Credit Card,Mobile App,Retail,1053,69803.29
2023-04-01,2023,4,North America,Credit Card,Branch (Assisted),Mass Affluent,1017,64743.43
2023-05-01,2023,5,North America,Credit Card,Mobile App,Retail,1116,70150.65
2023-06-01,2023,6,North America,Credit Card,Branch (Assisted),Retail,1155,69688.67
