Date,Region,Revenue_Target_USD
2023-01-01,North America,497111.34
2023-02-01,North America,531126.29
2023-03-01,North America,581215.75
2023-04-01,North America,463235.45
2023-05-01,North America,532062.69
2023-06-01,North America,584613.18
2023-07-01,North America,564083.88
2023-08-01,North America,496577.75
2023-09-01,North America,559121.28
2023-10-01,North America,530854.24
2023-11-01,North America,549105.47
2023-12-01,North America,516961.33
2024-01-01,North America,570914.66
2024-02-01,North America,607548.08
2024-03-01,North America,670650.79
2024-04-01,North America,682688.48
2024-05-01,North America,638365.27
2024-06-01,North America,633956.76
2024-07-01,North America,545033.62
2024-08-01,North America,555644.41
2024-09-01,North America,689772.85
2024-10-01,North America,655672.75
2024-11-01,North America,637309.74
2024-12-01,North America,649370.78
2025-01-01,North America,570492.56
2025-02-01,North America,696386.37
2025-03-01,North America,664220.82
2025-04-01,North America,828444.4
2025-05-01,North America,743845.88
2025-06-01,North America,665238.1
2025-07-01,North America,672113.23
2025-08-01,North America,709065.52
2025-09-01,North America,722686.14
2025-10-01,North America,713085.81
2025-11-01,North America,725880.26
2025-12-01,North America,730204.71
2023-01-01,Europe,454453.36
2023-02-01,Europe,398383.79
2023-03-01,Europe,439174.46
2023-04-01,Europe,504672.82
2023-05-01,Europe,460866.15
2023-06-01,Europe,474437.88
2023-07-01,Europe,436539.46
2023-08-01,Europe,460568.97
2023-09-01,Europe,480139.8
2023-10-01,Europe,467887.55
2023-11-01,Europe,489741.71
2023-12-01,Europe,426723.92
2024-01-01,Europe,478345.83
2024-02-01,Europe,510349.61
2024-03-01,Europe,484344.59
2024-04-01,Europe,524998.72
2024-05-01,Europe,504873.24
2024-06-01,Europe,533994.96
2024-07-01,Europe,484629.52
2024-08-01,Europe,486718.4
2024-09-01,Europe,525552.77
2024-10-01,Europe,476784.61
2024-11-01,Europe,509246.93
2024-12-01,Europe,522715.91
2025-01-01,Europe,492344.1
2025-02-01,Europe,543536.86
2025-03-01,Europe,492148.32
2025-04-01,Europe,592188.98
2025-05-01,Europe,519552.58
2025-06-01,Europe,571509.41
2025-07-01,Europe,500581.44
2025-08-01,Europe,538171.42
2025-09-01,Europe,509288.01
2025-10-01,Europe,573294.56
2025-11-01,Europe,587055.4
2025-12-01,Europe,540555.08
2023-01-01,MENA,216311.96
2023-02-01,MENA,266816.25
2023-03-01,MENA,244330.02
2023-04-01,MENA,278882.02
2023-05-01,MENA,299330.83
2023-06-01,MENA,282291.15
2023-07-01,MENA,260028.49
2023-08-01,MENA,274873.24
2023-09-01,MENA,280852.25
2023-10-01,MENA,278071.54
2023-11-01,MENA,314546.83
2023-12-01,MENA,324072.74
2024-01-01,MENA,297446.53
2024-02-01,MENA,338021.75
2024-03-01,MENA,293607.29
2024-04-01,MENA,342051.28
2024-05-01,MENA,353664.51
2024-06-01,MENA,360681.55
2024-07-01,MENA,337335.92
2024-08-01,MENA,360571.3
2024-09-01,MENA,361344.46
2024-10-01,MENA,376162.35
2024-11-01,MENA,404324.54
2024-12-01,MENA,411333.79
2025-01-01,MENA,386751.31
2025-02-01,MENA,368962.27
2025-03-01,MENA,384881.54
2025-04-01,MENA,455048.39
2025-05-01,MENA,424741.43
2025-06-01,MENA,418402.31
2025-07-01,MENA,428392.58
2025-08-01,MENA,437839.1
2025-09-01,MENA,467060.61
2025-10-01,MENA,489420.78
2025-11-01,MENA,543130.96
2025-12-01,MENA,477518.0
2023-01-01,APAC,328047.36
2023-02-01,APAC,348916.24
2023-03-01,APAC,440069.28
2023-04-01,APAC,375529.22
2023-05-01,APAC,413682.65
2023-06-01,APAC,380453.5
2023-07-01,APAC,364956.64
2023-08-01,APAC,442526.96
2023-09-01,APAC,402258.4
2023-10-01,APAC,409925.1
2023-11-01,APAC,422125.12
2023-12-01,APAC,442821.47
2024-01-01,APAC,472002.63
2024-02-01,APAC,425601.23
2024-03-01,APAC,469440.25
2024-04-01,APAC,502227.66
2024-05-01,APAC,485420.57
2024-06-01,APAC,415697.84
2024-07-01,APAC,498131.67
2024-08-01,APAC,423026.03
2024-09-01,APAC,475946.67
2024-10-01,APAC,488571.24
2024-11-01,APAC,519957.88
2024-12-01,APAC,498296.5
2025-01-01,APAC,541479.56
2025-02-01,APAC,556945.27
2025-03-01,APAC,571313.3
2025-04-01,APAC,619741.54
2025-05-01,APAC,585188.58
2025-06-01,APAC,557199.72
2025-07-01,APAC,571262.86
2025-08-01,APAC,498212.15
2025-09-01,APAC,589473.16
2025-10-01,APAC,598429.01
2025-11-01,APAC,631853.06
2025-12-01,APAC,657078.19
2023-01-01,LATAM,215076.13
2023-02-01,LATAM,215644.91
2023-03-01,LATAM,196894.2
2023-04-01,LATAM,215091.28
2023-05-01,LATAM,212069.48
2023-06-01,LATAM,217595.97
2023-07-01,LATAM,224192.9
2023-08-01,LATAM,217910.02
2023-09-01,LATAM,215177.31
2023-10-01,LATAM,193164.77
2023-11-01,LATAM,216569.87
2023-12-01,LATAM,244466.9
2024-01-01,LATAM,239284.14
